"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2022-01-01 ~ 2022-12-31"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 부산광역시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"40","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202205","24","20,800","-","15","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"41","부산광역시 기장군 기장읍 동부리","377-1","0377","0001","부전베스트","75.1200","202205","21","13,200","-","4","-","-","1990","차성동로142번길 12-2","-","중개거래","부산 기장군","-"
"42","부산광역시 기장군 기장읍 동부리","333","0333","0000","이진스카이빌","59.9700","202205","21","18,400","-","2","-","-","2004","차성서로 158-12","-","중개거래","부산 기장군","-"
"43","부산광역시 기장군 기장읍 동부리","378-3","0378","0003","동호그린빌라","64.0650","202205","16","7,900","-","3","-","-","1990","차성동로 136","-","중개거래","부산 기장군","-"
"44","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","84.9850","202205","11","27,750","-","19","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"45","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202205","10","20,200","-","7","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"46","부산광역시 기장군 기장읍 동부리","374-11","0374","0011","동산그린타워","58.7000","202205","10","10,400","-","3","-","-","1992","차성동로122번길 30","-","중개거래","부산 기장군","-"
"47","부산광역시 기장군 기장읍 동부리","374-11","0374","0011","동산그린타워","58.7000","202205","10","10,400","-","3","-","-","1992","차성동로122번길 30","20220608","중개거래","부산 기장군","-"
"48","부산광역시 기장군 기장읍 동부리","378-3","0378","0003","동호그린빌라","74.1400","202205","02","10,000","-","1","-","-","1990","차성동로 136","-","직거래","-","-"
"49","부산광역시 기장군 기장읍 동부리","159-1","0159","0001","동보빌라","84.7700","202204","28","11,000","-","5","-","-","1991","차성로326번길 14","-","중개거래","부산 기장군","-"
"50","부산광역시 기장군 기장읍 동부리","374-11","0374","0011","동산그린타워","59.5100","202204","27","13,300","-","4","-","-","1992","차성동로122번길 30","-","중개거래","부산 기장군 부산 해운대구","-"
"51","부산광역시 기장군 기장읍 동부리","364-2","0364","0002","부산기장포스코더샵","84.9056","202204","25","36,500","-","10","-","-","2004","차성동로116번길 12","-","중개거래","부산 기장군","-"
"52","부산광역시 기장군 기장읍 동부리","362-4","0362","0004","센텀스위트홈","103.5450","202204","17","27,300","-","7","-","-","2003","차성동로102번길 17","-","중개거래","부산 기장군","-"
"53","부산광역시 기장군 기장읍 동부리","333","0333","0000","이진스카이빌","59.9700","202204","14","20,100","-","10","-","-","2004","차성서로 158-12","-","중개거래","부산 기장군","-"
"54","부산광역시 기장군 기장읍 동부리","333","0333","0000","이진스카이빌","59.9700","202204","14","18,000","-","5","-","-","2004","차성서로 158-12","-","중개거래","부산 기장군","-"
"55","부산광역시 기장군 기장읍 동부리","159-1","0159","0001","동보빌라","84.7700","202204","13","11,000","-","5","-","-","1991","차성로326번길 14","20220425","중개거래","부산 기장군","-"
"56","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","84.9850","202204","10","25,500","-","6","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"57","부산광역시 기장군 기장읍 동부리","376-5","0376","0005","리츠빌","84.9400","202204","06","15,000","-","1","-","-","2002","차성로436번길 74","-","중개거래","부산 기장군","-"
"58","부산광역시 기장군 기장읍 동부리","362-3","0362","0003","선아베스트빌","81.6900","202204","06","18,500","-","4","-","-","2002","차성동로102번길 11","-","중개거래","부산 기장군","-"
"59","부산광역시 기장군 기장읍 동부리","364-2","0364","0002","부산기장포스코더샵","84.9056","202203","31","34,000","-","19","-","-","2004","차성동로116번길 12","-","중개거래","부산 기장군","-"
"60","부산광역시 기장군 기장읍 동부리","133-8","0133","0008","대진로얄","82.9300","202203","30","19,100","-","5","-","-","1990","차성로326번길 9","-","중개거래","부산 기장군","-"
"61","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202203","25","19,400","-","23","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"62","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202203","23","19,900","-","22","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"63","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","59.8500","202203","23","18,600","-","3","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
"64","부산광역시 기장군 기장읍 동부리","151-5","0151","0005","한신","84.9850","202203","19","28,400","-","7","-","-","1995","차성로344번길 13","-","중개거래","부산 기장군","-"
